size,deadline,id,crucial,category
1,45.0,64_0,1,car
1,45.0,64_0,1,person
1,45.0,64_1,0,car
1,45.0,64_1,1,person
1,45.0,64_10,0,car
1,45.0,64_10,0,person
1,45.0,64_11,0,car
1,45.0,64_11,0,person
1,45.0,64_2,0,car
1,45.0,64_2,1,person
1,45.0,64_3,0,car
1,45.0,64_3,0,person
1,45.0,64_4,0,car
1,45.0,64_4,0,person
1,45.0,64_5,1,car
1,45.0,64_5,1,person
1,45.0,64_6,0,car
1,45.0,64_6,0,person
1,45.0,64_7,0,car
1,45.0,64_7,1,person
1,45.0,64_8,0,car
1,45.0,64_8,0,person
1,45.0,64_9,0,car
1,45.0,64_9,0,person
2,45.0,128_0,0,car
2,45.0,128_1,1,car
2,45.0,128_2,1,car
3,45.0,256_0,1,car
3,45.0,256_0,1,person
